,0,1,2,3,4,5,6,7,8,9,10,11,target
20,0.53621197,1.0,0.5332744,0.7920794,0.20531254,0.14184241,0.1519176,0.4736351,0.9267681,0.2890894,0.087260485,0.2288725,4.0
21,0.5158532,1.0,0.5146526,0.56061214,0.14757,0.13007045,0.09162114,0.30255204,0.8426336,0.1668926,0.07235327,0.21624003,4.0
22,0.5485649,1.0,0.5186111,0.52071756,0.16334811,0.14006433,0.08181081,0.16554618,0.4449111,0.1444595,0.1416373,0.24409679,4.0
23,0.8231553,1.0,0.8442439,0.6998921,0.50269586,0.39084107,0.4124902,0.501747,0.70048827,0.5291287,0.48287898,0.4928268,4.0
24,1.0,0.90258855,0.72257626,0.8174508,0.6121561,0.47853786,0.46398407,0.6616444,0.922597,0.81279004,0.6242335,0.74167234,4.0
25,1.0,0.80521214,0.6324504,0.9154162,0.46620956,0.4035523,0.37354976,0.71313155,0.9943165,0.9261134,0.8342959,0.8300923,4.0
26,0.8380116,1.0,0.68120116,0.76928616,0.477998,0.38257682,0.31493303,0.6169158,0.8788684,0.50056994,0.67338747,0.78635484,4.0
27,0.6658287,1.0,0.75854015,0.6473714,0.7570111,0.5149281,0.30810198,0.5195169,0.6511811,0.3137912,0.4359001,0.7516437,4.0
28,0.8177379,1.0,0.665368,0.67141396,0.48186672,0.27377933,0.19048183,0.3792842,0.34620827,0.27103597,0.41061905,0.63933206,4.0
29,0.7207649,0.6469524,0.6913019,1.0,0.38713115,0.2692505,0.23313862,0.4167374,0.3521335,0.25812835,0.5483804,0.43266132,4.0
30,0.50038064,0.60062736,0.6736609,1.0,0.6308315,0.317695,0.35108483,0.4710362,0.55867445,0.28229776,0.37512738,0.3651629,4.0
31,0.53222775,1.0,0.6399494,0.5654441,0.63620156,0.4850139,0.3500478,0.43644357,0.6988034,0.41929334,0.36497808,0.36337686,4.0
32,0.7372709,1.0,0.5503595,0.34020317,0.56132203,0.29498684,0.29867816,0.43778273,0.59388846,0.44055063,0.44543707,0.445899,4.0
33,0.738029,0.6450774,0.637714,0.59729064,1.0,0.41787434,0.20127022,0.30471095,0.41399202,0.36394355,0.37863308,0.89350104,4.0
34,0.51100475,0.5905799,0.41459322,0.65135753,1.0,0.4717672,0.25989318,0.25851622,0.31835973,0.2901667,0.30803248,0.79272074,4.0
35,0.5250414,1.0,0.4182568,0.35922903,0.38546503,0.2944511,0.20303567,0.3726696,0.6782792,0.40372056,0.29889086,0.49667028,4.0
36,0.32470378,0.7530091,0.30343184,0.25180852,0.22316492,0.12733467,0.084591836,0.26829132,1.0,0.4694236,0.15301637,0.15577146,4.0
37,0.156488,0.28376925,0.1716869,0.2623805,0.152017,0.08268329,0.05618055,0.25819206,1.0,0.27037796,0.07690908,0.08778692,4.0
38,0.07713393,0.09598732,0.09669278,0.16983908,0.07678534,0.05717227,0.040540807,0.36895236,1.0,0.17704938,0.039889764,0.06307985,4.0
39,0.10236329,0.117513746,0.07591221,0.14158075,0.06811234,0.040841788,0.036205508,0.32864878,1.0,0.17939821,0.037097763,0.065218866,4.0
40,0.2014053,0.18746679,0.10822181,0.13246086,0.09252367,0.05185199,0.04688298,0.28152978,1.0,0.1799533,0.067008,0.1422718,4.0
41,0.21288311,0.19375025,0.12647665,0.11885812,0.074898995,0.07024854,0.048722055,0.3322326,1.0,0.15956506,0.077143006,0.14741877,4.0
42,0.27387,0.25234735,0.16400468,0.18164258,0.05822583,0.058348596,0.035829443,0.41301927,1.0,0.12242303,0.06241486,0.16051428,4.0
43,0.4106855,0.5654017,0.21741705,0.14133693,0.06633928,0.087369986,0.0409137,0.44729337,1.0,0.12520082,0.06465821,0.21311639,4.0
44,0.4877244,0.69437224,0.21980438,0.121174276,0.08011892,0.06696594,0.044187568,0.37352833,1.0,0.13879153,0.079654045,0.24202035,4.0
45,0.47717494,0.4530796,0.2094358,0.19128218,0.09934649,0.048887804,0.04053362,0.39373064,1.0,0.14058754,0.12542185,0.29452327,4.0
